  PID TTY          TIME CMD
    1 ?        00:00:00 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:02 rcu_preempt
    8 ?        00:00:00 rcu_sched
    9 ?        00:00:00 rcu_bh
   10 ?        00:00:00 migration/0
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 watchdog/1
   13 ?        00:00:00 migration/1
   14 ?        00:00:00 ksoftirqd/1
   15 ?        00:00:00 kworker/1:0
   16 ?        00:00:00 kworker/1:0H
   17 ?        00:00:00 watchdog/2
   18 ?        00:00:00 migration/2
   19 ?        00:00:00 ksoftirqd/2
   20 ?        00:00:00 kworker/2:0
   21 ?        00:00:00 kworker/2:0H
   22 ?        00:00:00 watchdog/3
   23 ?        00:00:00 migration/3
   24 ?        00:00:00 ksoftirqd/3
   26 ?        00:00:00 kworker/3:0H
   27 ?        00:00:00 khelper
   28 ?        00:00:00 kdevtmpfs
   29 ?        00:00:00 netns
   30 ?        00:00:00 khungtaskd
   31 ?        00:00:00 writeback
   32 ?        00:00:00 ksmd
   33 ?        00:00:00 khugepaged
   34 ?        00:00:00 crypto
   35 ?        00:00:00 kintegrityd
   36 ?        00:00:00 bioset
   37 ?        00:00:00 kblockd
   39 ?        00:00:00 kswapd0
   40 ?        00:00:00 fsnotify_mark
   44 ?        00:00:00 kthrotld
   45 ?        00:00:00 ipv6_addrconf
   46 ?        00:00:00 deferwq
   77 ?        00:00:00 khubd
   78 ?        00:00:00 ata_sff
   79 ?        00:00:00 kworker/3:1
   81 ?        00:00:00 scsi_eh_0
   82 ?        00:00:00 scsi_tmf_0
   83 ?        00:00:00 scsi_eh_1
   84 ?        00:00:00 scsi_tmf_1
   85 ?        00:00:00 scsi_eh_2
   86 ?        00:00:00 scsi_tmf_2
   87 ?        00:00:00 scsi_eh_3
   88 ?        00:00:00 scsi_tmf_3
   89 ?        00:00:00 scsi_eh_4
   90 ?        00:00:00 scsi_tmf_4
   91 ?        00:00:00 scsi_eh_5
   92 ?        00:00:00 scsi_tmf_5
   94 ?        00:00:00 kworker/u8:3
   95 ?        00:00:00 kworker/u8:4
  108 ?        00:00:00 kworker/0:1H
  120 ?        00:00:00 jbd2/sda5-8
  121 ?        00:00:00 ext4-rsv-conver
  145 ?        00:00:00 systemd-journal
  162 ?        00:00:00 rpciod
  164 ?        00:00:00 systemd-udevd
  165 ?        00:00:00 nfsiod
  168 ?        00:00:00 iprt
  193 ?        00:00:00 irq/40-mei_me
  198 ?        00:00:00 kworker/2:1H
  273 ?        00:00:00 hd-audio1
  274 ?        00:00:00 hd-audio0
  275 ?        00:00:00 kvm-irqfd-clean
  288 ?        00:00:00 jbd2/sdb2-8
  289 ?        00:00:00 ext4-rsv-conver
  297 ?        00:00:00 kworker/1:1H
  306 ?        00:00:00 NetworkManager
  307 ?        00:00:01 mysqld
  309 ?        00:00:00 crond
  310 ?        00:00:00 systemd-logind
  311 ?        00:00:00 acpid
  312 ?        00:00:00 avahi-daemon
  314 ?        00:00:00 dbus-daemon
  317 ?        00:00:00 avahi-daemon
  326 ?        00:00:00 gdm
  327 ?        00:00:00 rpcbind
  335 tty1     00:03:06 Xorg.bin
  336 ?        00:00:00 accounts-daemon
  340 ?        00:00:00 cfg80211
  351 ?        00:00:00 polkitd
  373 ?        00:00:00 kworker/3:1H
  376 ?        00:00:00 sshd
  380 ?        00:00:00 ntpd
  381 ?        00:00:00 automount
  392 ?        00:00:00 nmbd
  439 ?        00:00:00 upowerd
  474 ?        00:00:00 colord
  483 ?        00:00:00 rtkit-daemon
  519 ?        00:00:00 wpa_supplicant
  539 ?        00:00:00 udisksd
  594 ?        00:00:00 gdm-session-wor
  598 ?        00:00:00 systemd
  599 ?        00:00:00 (sd-pam)
  603 ?        00:00:01 gnome-keyring-d
  609 ?        00:00:00 cinnamon-sessio
  623 ?        00:00:00 dbus-launch
  624 ?        00:00:00 dbus-daemon
  627 ?        00:00:00 ssh-agent
  629 ?        00:00:00 at-spi-bus-laun
  633 ?        00:00:00 dbus-daemon
  636 ?        00:00:00 at-spi2-registr
  640 ?        00:00:00 gvfsd
  644 ?        00:00:00 gvfsd-fuse
  656 ?        00:00:01 cinnamon-settin
  665 ?        00:00:40 pulseaudio
  673 ?        00:00:00 gvfs-udisks2-vo
  678 ?        00:00:00 gvfs-mtp-volume
  687 ?        00:00:00 gconf-helper
  689 ?        00:00:00 gconfd-2
  694 ?        00:00:00 csd-printer
  699 ?        00:00:00 cinnamon-launch
  704 ?        00:04:21 cinnamon
  710 ?        00:00:00 evolution-alarm
  711 ?        00:00:03 nemo
  712 ?        00:00:00 nm-applet
  713 ?        00:00:00 polkit-gnome-au
  715 ?        00:00:00 tracker-extract
  716 ?        00:00:00 tracker-miner-u
  724 ?        00:00:00 tracker-store
  726 ?        00:00:01 tracker-miner-f
  727 ?        00:00:00 tracker-miner-a
  735 ?        00:00:00 zeitgeist-datah
  757 ?        00:00:00 dconf-service
  760 ?        00:00:00 zeitgeist-daemo
  775 ?        00:00:00 evolution-sourc
  780 ?        00:00:00 gvfsd-trash
  786 ?        00:00:00 gvfsd-metadata
  819 ?        00:00:00 nfsv4.0-svc
  833 ?        00:00:00 goa-daemon
  848 ?        00:00:00 rpc.statd
  851 ?        00:00:00 mission-control
  862 ?        00:00:00 evolution-calen
  905 ?        00:00:16 smplayer
  913 ?        00:00:00 cinnamon-screen
  947 ?        00:00:04 gnome-terminal-
  950 ?        00:00:00 gnome-pty-helpe
  951 pts/0    00:00:00 bash
  965 ?        00:00:00 eclipse
  968 ?        00:00:00 eclipse
  969 ?        00:04:47 java
 1287 ?        00:00:00 kworker/2:1
 1288 ?        00:00:00 sublime_text
 1542 ?        00:00:18 chrome
 1551 ?        00:00:00 cat
 1552 ?        00:00:00 cat
 1554 ?        00:00:00 chrome-sandbox
 1555 ?        00:00:00 chrome
 1559 ?        00:00:00 chrome-sandbox
 1560 ?        00:00:00 nacl_helper
 1562 ?        00:00:00 chrome
 1580 ?        00:00:59 chrome
 1593 ?        00:00:03 chrome
 1601 ?        00:00:00 chrome
 1612 ?        00:00:00 chrome
 1621 ?        00:00:00 chrome
 1635 ?        00:00:00 kworker/1:2
